"filename", "language", "SCSS", "HTML", "CSS", "JSON", "Batch", "PostgreSQL", "Markdown", "TypeScript", "JavaScript", "Stylus", "Vue", "XML", "Log", "Shell Script", "comment", "blank", "total"
"c:\repos\hug-moms\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 19, 55
"c:\repos\hug-moms\angular.json", "JSON", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 145
"c:\repos\hug-moms\create-db.bat", "Batch", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"c:\repos\hug-moms\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 55
"c:\repos\hug-moms\deploy-docs.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\repos\hug-moms\docs\.vuepress\api-sidebar-relative.json", "JSON", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82
"c:\repos\hug-moms\docs\.vuepress\api-sidebar.json", "JSON", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82
"c:\repos\hug-moms\docs\.vuepress\components\Foo\Bar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\repos\hug-moms\docs\.vuepress\components\OtherComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\repos\hug-moms\docs\.vuepress\components\demo-component.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\repos\hug-moms\docs\.vuepress\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 29, 6, 90
"c:\repos\hug-moms\docs\.vuepress\dist\404.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
