Date : 2021-05-25 18:36:16
Directory : c:\repos\hug-moms
Total : 364 files,  77055 codes, 638 comments, 4870 blanks, all 82563 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |         21 |     41,382 |         68 |          9 |     41,459 |
| TypeScript   |        132 |     29,368 |        453 |      3,693 |     33,514 |
| HTML         |         83 |      3,858 |         21 |        601 |      4,480 |
| Markdown     |         21 |      1,087 |          0 |        404 |      1,491 |
| SCSS         |         60 |        986 |         40 |        126 |      1,152 |
| JavaScript   |         29 |        118 |         42 |          9 |        169 |
| Batch        |          5 |         87 |          0 |         14 |        101 |
| Log          |          2 |         56 |          0 |          2 |         58 |
| XML          |          2 |         35 |          0 |          1 |         36 |
| Vue          |          3 |         31 |          0 |          5 |         36 |
| Stylus       |          2 |         26 |         13 |          2 |         41 |
| PostgreSQL   |          1 |         14 |          1 |          3 |         18 |
| Shell Script |          1 |          6 |          0 |          0 |          6 |
| CSS          |          2 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        364 |     77,055 |        638 |      4,870 |     82,563 |
| docs                                                                                         |         77 |      1,970 |         53 |        441 |      2,464 |
| docs\.vuepress                                                                               |         57 |        937 |         53 |         56 |      1,046 |
| docs\.vuepress\components                                                                    |          3 |         31 |          0 |          5 |         36 |
| docs\.vuepress\components\Foo                                                                |          1 |         14 |          0 |          2 |         16 |
| docs\.vuepress\dist                                                                          |         48 |        654 |          5 |         41 |        700 |
| docs\.vuepress\dist\assets                                                                   |         28 |         30 |          5 |          1 |         36 |
| docs\.vuepress\dist\assets\css                                                               |          1 |          1 |          0 |          0 |          1 |
| docs\.vuepress\dist\assets\img                                                               |          1 |          1 |          0 |          1 |          2 |
| docs\.vuepress\dist\assets\js                                                                |         26 |         28 |          5 |          0 |         33 |
| docs\.vuepress\dist\config                                                                   |          1 |         23 |          0 |          2 |         25 |
| docs\.vuepress\dist\guide                                                                    |         15 |        507 |          0 |         30 |        537 |
| docs\.vuepress\styles                                                                        |          2 |         26 |         13 |          2 |         41 |
| docs\config                                                                                  |          1 |         10 |          0 |          6 |         16 |
| docs\guide                                                                                   |         15 |        577 |          0 |        324 |        901 |
| e2e                                                                                          |          3 |         33 |          0 |          7 |         40 |
| e2e\src                                                                                      |          2 |         20 |          0 |          7 |         27 |
| src                                                                                          |        265 |     52,335 |        520 |      4,379 |     57,234 |
| src\app                                                                                      |        250 |     51,419 |        399 |      4,238 |     56,056 |
| src\app\address-input                                                                        |          3 |        101 |          0 |         14 |        115 |
| src\app\asign-family                                                                         |          5 |      1,666 |          6 |        277 |      1,949 |
| src\app\assign-escort                                                                        |          3 |        194 |          0 |         22 |        216 |
| src\app\auth                                                                                 |          4 |        605 |          0 |        104 |        709 |
| src\app\basket-summary                                                                       |          3 |         89 |          0 |         15 |        104 |
| src\app\common-questions                                                                     |          3 |         91 |          0 |         14 |        105 |
| src\app\create-new-event                                                                     |          1 |        170 |          0 |         35 |        205 |
| src\app\date-range                                                                           |          3 |         85 |          0 |         13 |         98 |
| src\app\delivery-follow-up                                                                   |          4 |        337 |          1 |         65 |        403 |
| src\app\delivery-history                                                                     |          3 |        374 |          0 |         50 |        424 |
| src\app\delivery-reception                                                                   |          3 |        166 |          0 |         27 |        193 |
| src\app\distribution-map                                                                     |          3 |        479 |         17 |        105 |        601 |
| src\app\duplicate-families                                                                   |          3 |        248 |          1 |         26 |        275 |
| src\app\edit-comment-dialog                                                                  |          3 |         40 |          0 |         18 |         58 |
| src\app\events                                                                               |          4 |        450 |          0 |         35 |        485 |
| src\app\families                                                                             |         15 |      3,438 |         30 |        482 |      3,950 |
| src\app\family-deliveries                                                                    |          5 |      1,553 |          6 |        179 |      1,738 |
| src\app\family-in-list                                                                       |          3 |        106 |          0 |         23 |        129 |
| src\app\family-info                                                                          |          3 |        342 |          1 |         56 |        399 |
| src\app\grid-dialog                                                                          |          3 |         88 |          0 |         19 |        107 |
| src\app\helper-assignment                                                                    |          3 |         56 |          0 |         10 |         66 |
| src\app\helper-families                                                                      |          4 |        988 |          2 |        127 |      1,117 |
